HomeTeam,AwayTeam,Result,Home.Score,Away.Score,Home.Odds,Draw.Odds,Away.Odds
Arsenal,Stoke,Arsenal,2,0,1.3,5.62,11.77
Arsenal,Man United,Arsenal,3,0,2.06,3.51,3.78
Arsenal,Everton,Arsenal,3,1,1.41,4.49,8.47
Arsenal,Sunderland,Arsenal,2,1,1.2,6.09,13.71
Arsenal,Man City,Arsenal,3,0,2.52,3.39,2.96
Arsenal,Bournemouth,Arsenal,2,0,1.37,4.73,8.66
Arsenal,Leicester,Arsenal,2,1,1.77,3.86,4.65
Arsenal,Watford,Arsenal,4,0,1.32,5.14,10.08
Arsenal,Crystal Palace,Arsenal,1,0,1.29,5.35,10.33
Arsenal,West Brom,Arsenal,3,0,1.19,5.98,13.87
Arsenal,Aston Villa,Arsenal,4,0,1.1,8.05,19.31
Arsenal,Crystal Palace,Arsenal,2,1,1.2,5.83,12.77
Arsenal,Burnley,Arsenal,2,0,1.28,5.72,12.11
Arsenal,Newcastle,Arsenal,4,0,1.4,4.39,8.04
Arsenal,QPR,Arsenal,2,0,1.22,5.82,11.38
Arsenal,Stoke,Arsenal,3,0,1.44,4.44,8.28
Arsenal,Aston Villa,Arsenal,4,0,1.22,6,13.05
Arsenal,Leicester,Arsenal,3,0,1.25,5.63,11.9
Arsenal,Everton,Arsenal,2,0,1.53,4.27,6.69
Arsenal,West Ham,Arsenal,2,0,1.38,4.84,8.67
Arsenal,Liverpool,Arsenal,4,0,1.91,3.64,4.28
Arsenal,West Brom,Arsenal,5,0,1.42,4.92,8.84
Arsenal,Tottenham,Arsenal,1,0,2.05,3.55,3.64
Arsenal,Stoke,Arsenal,3,1,1.33,4.97,9.85
Arsenal,Norwich,Arsenal,4,0,1.24,5.71,12.32
Arsenal,Liverpool,Arsenal,2,0,2.24,3.37,3.31
Arsenal,Southampton,Arsenal,2,0,1.54,4.03,6.41
Arsenal,Hull,Arsenal,2,0,1.14,6.86,15.57
Arsenal,Cardiff,Arsenal,2,0,1.19,6.2,13.87
Arsenal,Fulham,Arsenal,2,0,1.16,6.71,15.32
Arsenal,Crystal Palace,Arsenal,2,0,1.13,6.38,15.07
Arsenal,Sunderland,Arsenal,5,0,1.25,5.52,11.98
Arsenal,West Ham,Arsenal,2,1,1.37,4.7,8.63
Arsenal,Newcastle,Arsenal,3,0,1.25,5.48,11.13
Arsenal,Southampton,Arsenal,6,1,1.35,4.86,9.9
Arsenal,Tottenham,Arsenal,4,2,2.01,3.63,3.94
Arsenal,West Brom,Arsenal,2,0,1.47,4.25,6.99
Arsenal,Newcastle,Arsenal,6,2,1.46,4.51,7.59
Arsenal,West Ham,Arsenal,4,1,1.46,4.55,8.57
Arsenal,Aston Villa,Arsenal,2,0,1.32,5.34,10.35
Arsenal,Reading,Arsenal,4,0,1.22,6.5,12.88
Arsenal,Norwich,Arsenal,2,0,1.16,6.3,13.15
Arsenal,Wigan,Arsenal,4,1,1.34,5.4,8.8
Arsenal,Middlesborough,Arsenal,2,1,1.15,3.39,3.45
Arsenal,Aston Villa,Aston Villa,1,2,1.3,5.03,8.86
Arsenal,Chelsea,Chelsea,0,1,2.1,3.35,3.83
Arsenal,Chelsea,Chelsea,1,2,2.22,3.39,3.4
Arsenal,Liverpool,Draw,1,1,1.76,3.74,5.18
Arsenal,Tottenham,Draw,1,1,1.66,3.96,5.37
Arsenal,Newcastle,Draw,0,0,1.21,5.68,12.16
Arsenal,Southampton,Draw,1,1,1.81,3.53,5.19
Arsenal,Norwich,Draw,0,0,1.16,6.05,14.24
Arsenal,Tottenham,Draw,0,0,1.8,3.67,4.82
Arsenal,Hull,Draw,2,2,1.4,4.71,8.72
Arsenal,Southampton,Draw,1,1,1.82,3.66,4.79
Arsenal,Chelsea,Draw,0,0,2.45,3.25,3.01
Arsenal,Swansea,Draw,1,1,1.3,5.58,10.1
Arsenal,Sunderland,Draw,1,1,1.29,5.66,11.17
Arsenal,Everton,Draw,1,1,1.64,3.84,5.48
Arsenal,Chelsea,Draw,0,0,2.41,3.26,2.98
Arsenal,Man United,Draw,0,0,2.18,3.41,3.41
Arsenal,Swansea,Draw,2,2,1.44,4.4,7.45
Arsenal,West Brom,Draw,1,1,1.22,5.62,11.56
Arsenal,Sunderland,Draw,0,0,1.3,4.72,9.27
Arsenal,QPR,Draw,1,1,1.33,5.1,9.42
Arsenal,Fulham,Draw,3,3,1.54,4.17,7.13
Arsenal,Stoke,Draw,1,1,1.4,4.32,9.05
Arsenal,Everton,Draw,1,1,1.72,3.83,4.93
Arsenal,Man United,Draw,1,1,2.19,3.54,3.47
Arsenal,Liverpool,Liverpool,2,3,2.41,3.35,3.17
Arsenal,Man City,Man City,2,3,2.98,3.44,2.47
Arsenal,Man City,Man City,0,1,3.76,3.52,1.88
Arsenal,Man City,Man City,0,3,2.68,3.42,2.63
Arsenal,Man United,Man United,1,2,2.31,3.3,3.26
Arsenal,Swansea,Swansea,1,2,1.31,5.08,9.64
Arsenal,Swansea,Swansea,1,2,1.4,4.52,8.15
Arsenal,West Ham,West Ham,1,2,1.26,5.64,11.63
Aston Villa,Arsenal,Arsenal,0,3,6.73,4.1,1.29
Aston Villa,Arsenal,Arsenal,0,3,4.49,3.59,1.64
Aston Villa,Arsenal,Arsenal,0,3,6.32,4.01,1.32
Aston Villa,Norwich,Aston Villa,2,0,2.46,3.24,3.03
Aston Villa,Hull,Aston Villa,3,0,2.33,3.19,3.45
